,expanded_query,title,abstract,expanded_score,feedback_adjusted_score,cosine_similarity,source_query,overlap_count
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Deep learning
- Convolutional neural networks
- Radiology
- Disease diagnosis
- Feature extraction
- Image classification
- Model fine-tuning","Towards Automated Melanoma Screening: Exploring Transfer Learning
  Schemes","  Deep learning is the current bet for image classification. Its greed for huge
amounts of annotated data limits its usage in medical imaging context. In this
scenario transfer learning appears as a prominent solution. In this report we
aim to clarify how transfer learning schemes may influence classification
results. We are particularly focused in the automated melanoma screening
problem, a case of medical imaging in which transfer learning is still not
widely used. We explored transfer with and without fine-tuning, sequential
transfers and usage of pre-trained models in general and specific datasets.
Although some issues remain open, our findings may drive future researches.
",9,,0.6264371,expanded,
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Radiology
- Deep learning
- Convolutional Neural Networks
- Image classification
- Disease diagnosis","Advancing Diagnostic Precision: Leveraging Machine Learning Techniques
  for Accurate Detection of Covid-19, Pneumonia, and Tuberculosis in Chest
  X-Ray Images","  Lung diseases such as COVID-19, tuberculosis (TB), and pneumonia continue to
be serious global health concerns that affect millions of people worldwide. In
medical practice, chest X-ray examinations have emerged as the norm for
diagnosing diseases, particularly chest infections such as COVID-19. Paramedics
and scientists are working intensively to create a reliable and precise
approach for early-stage COVID-19 diagnosis in order to save lives. But with a
variety of symptoms, medical diagnosis of these disorders poses special
difficulties. It is essential to address their identification and timely
diagnosis in order to successfully treat and prevent these illnesses. In this
research, a multiclass classification approach using state-of-the-art methods
for deep learning and image processing is proposed. This method takes into
account the robustness and efficiency of the system in order to increase
diagnostic precision of chest diseases. A comparison between a brand-new
convolution neural network (CNN) and several transfer learning pre-trained
models including VGG19, ResNet, DenseNet, EfficientNet, and InceptionNet is
recommended. Publicly available and widely used research datasets like Shenzen,
Montogomery, the multiclass Kaggle dataset and the NIH dataset were used to
rigorously test the model. Recall, precision, F1-score, and Area Under Curve
(AUC) score are used to evaluate and compare the performance of the proposed
model. An AUC value of 0.95 for COVID-19, 0.99 for TB, and 0.98 for pneumonia
is obtained using the proposed network. Recall and precision ratings of 0.95,
0.98, and 0.97, respectively, likewise met high standards.
",,7,0.42008674,feedback_adjusted,
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Deep learning
- Convolutional neural networks
- Radiology
- Image segmentation
- Disease diagnosis
- Feature extraction
- Model fine-tuning","Study on Transfer Learning Capabilities for Pneumonia Classification in
  Chest-X-Rays Image","  Over the last year, the severe acute respiratory syndrome coronavirus-2
(SARS-CoV-2) and its variants have highlighted the importance of screening
tools with high diagnostic accuracy for new illnesses such as COVID-19. To that
regard, deep learning approaches have proven as effective solutions for
pneumonia classification, especially when considering chest-x-rays images.
However, this lung infection can also be caused by other viral, bacterial or
fungi pathogens. Consequently, efforts are being poured toward distinguishing
the infection source to help clinicians to diagnose the correct disease origin.
Following this tendency, this study further explores the effectiveness of
established neural network architectures on the pneumonia classification task
through the transfer learning paradigm. To present a comprehensive comparison,
12 well-known ImageNet pre-trained models were fine-tuned and used to
discriminate among chest-x-rays of healthy people, and those showing pneumonia
symptoms derived from either a viral (i.e., generic or SARS-CoV-2) or bacterial
source. Furthermore, since a common public collection distinguishing between
such categories is currently not available, two distinct datasets of
chest-x-rays images, describing the aforementioned sources, were combined and
employed to evaluate the various architectures. The experiments were performed
using a total of 6330 images split between train, validation and test sets. For
all models, common classification metrics were computed (e.g., precision,
f1-score) and most architectures obtained significant performances, reaching,
among the others, up to 84.46% average f1-score when discriminating the 4
identified classes. Moreover, confusion matrices and activation maps computed
via the Grad-CAM algorithm were also reported to present an informed discussion
on the networks classifications.
",,9,0.53770036,feedback_adjusted,
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Deep learning
- Computer vision
- Radiology
- Image classification
- Feature extraction
- Biomedical applications
- Convolutional neural networks
- Data augmentation
- Pretraining
- Fine-tuning","Automatic Detection of COVID-19 and Pneumonia from Chest X-Ray using
  Deep Learning","  In this study, a dataset of X-ray images from patients with common viral
pneumonia, bacterial pneumonia, confirmed Covid-19 disease was utilized for the
automatic detection of the Coronavirus disease. The point of the investigation
is to assess the exhibition of cutting edge convolutional neural system
structures proposed over the ongoing years for clinical picture order. In
particular, the system called Transfer Learning was received. With transfer
learning, the location of different variations from the norm in little clinical
picture datasets is a reachable objective, regularly yielding amazing outcomes.
The datasets used in this trial. Firstly, a collection of 24000 X-ray images
includes 6000 images for confirmed Covid-19 disease,6000 confirmed common
bacterial pneumonia and 6000 images of normal conditions. The information was
gathered and expanded from the accessible X-Ray pictures on open clinical
stores. The outcomes recommend that Deep Learning with X-Ray imaging may
separate noteworthy biological markers identified with the Covid-19 sickness,
while the best precision, affectability, and particularity acquired is 97.83%,
96.81%, and 98.56% individually.
",,8.333333333,0.5734759,feedback_adjusted,
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Radiology
- Deep learning
- Image classification
- Healthcare
- Convolutional neural networks
- Feature extraction","DenResCov-19: A deep transfer learning network for robust automatic
  classification of COVID-19, pneumonia, and tuberculosis from X-rays","  The global pandemic of COVID-19 is continuing to have a significant effect on
the well-being of global population, increasing the demand for rapid testing,
diagnosis, and treatment. Along with COVID-19, other etiologies of pneumonia
and tuberculosis constitute additional challenges to the medical system. In
this regard, the objective of this work is to develop a new deep transfer
learning pipeline to diagnose patients with COVID-19, pneumonia, and
tuberculosis, based on chest x-ray images. We observed in some instances
DenseNet and Resnet have orthogonal performances. In our proposed model, we
have created an extra layer with convolutional neural network blocks to combine
these two models to establish superior performance over either model. The same
strategy can be useful in other applications where two competing networks with
complementary performance are observed. We have tested the performance of our
proposed network on two-class (pneumonia vs healthy), three-class (including
COVID-19), and four-class (including tuberculosis) classification problems. The
proposed network has been able to successfully classify these lung diseases in
all four datasets and has provided significant improvement over the benchmark
networks of DenseNet, ResNet, and Inception-V3. These novel findings can
deliver a state-of-the-art pre-screening fast-track decision network to detect
COVID-19 and other lung pathologies.
",,9.333333333,0.4175442,feedback_adjusted,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - Sampling techniques
- Cost-sensitive learning
- Ensemble methods
- Synthetic data generation
- Evaluation metrics for imbalanced datasets","Review of Methods for Handling Class-Imbalanced in Classification
  Problems","  Learning classifiers using skewed or imbalanced datasets can occasionally
lead to classification issues; this is a serious issue. In some cases, one
class contains the majority of examples while the other, which is frequently
the more important class, is nevertheless represented by a smaller proportion
of examples. Using this kind of data could make many carefully designed
machine-learning systems ineffective. High training fidelity was a term used to
describe biases vs. all other instances of the class. The best approach to all
possible remedies to this issue is typically to gain from the minority class.
The article examines the most widely used methods for addressing the problem of
learning with a class imbalance, including data-level, algorithm-level, hybrid,
cost-sensitive learning, and deep learning, etc. including their advantages and
limitations. The efficiency and performance of the classifier are assessed
using a myriad of evaluation metrics.
",9.333333333,9.333333333,0.70557666,overlap,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - Oversampling
- Undersampling
- SMOTE
- Cost-sensitive learning
- Ensemble methods
- Synthetic data generation","An Empirical Analysis of the Efficacy of Different Sampling Techniques
  for Imbalanced Classification","  Learning from imbalanced data is a challenging task. Standard classification
algorithms tend to perform poorly when trained on imbalanced data. Some special
strategies need to be adopted, either by modifying the data distribution or by
redesigning the underlying classification algorithm to achieve desirable
performance. The prevalence of imbalance in real-world datasets has led to the
creation of a multitude of strategies for the class imbalance issue. However,
not all the strategies are useful or provide good performance in different
imbalance scenarios. There are numerous approaches to dealing with imbalanced
data, but the efficacy of such techniques or an experimental comparison among
those techniques has not been conducted. In this study, we present a
comprehensive analysis of 26 popular sampling techniques to understand their
effectiveness in dealing with imbalanced data. Rigorous experiments have been
conducted on 50 datasets with different degrees of imbalance to thoroughly
investigate the performance of these techniques. A detailed discussion of the
advantages and limitations of the techniques, as well as how to overcome such
limitations, has been presented. We identify some critical factors that affect
the sampling strategies and provide recommendations on how to choose an
appropriate sampling technique for a particular application.
",9.333333333,9,0.679003,overlap,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - Oversampling
- Undersampling
- Synthetic data generation
- Cost-sensitive learning
- Ensemble methods
- Anomaly detection
- Feature engineering","A Survey of Methods for Managing the Classification and Solution of Data
  Imbalance Problem","  The problem of class imbalance is extensive for focusing on numerous
applications in the real world. In such a situation, nearly all of the examples
are labeled as one class called majority class, while far fewer examples are
labeled as the other class usually, the more important class is called
minority. Over the last few years, several types of research have been carried
out on the issue of class imbalance, including data sampling, cost-sensitive
analysis, Genetic Programming based models, bagging, boosting, etc.
Nevertheless, in this survey paper, we enlisted the 24 related studies in the
years 2003, 2008, 2010, 2012 and 2014 to 2019, focusing on the architecture of
single, hybrid, and ensemble method design to understand the current status of
improving classification output in machine learning techniques to fix problems
with class imbalances. This survey paper also includes a statistical analysis
of the classification algorithms under various methods and several other
experimental conditions, as well as datasets used in different research papers.
",8.333333333,9,0.66323924,overlap,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - Oversampling
- Undersampling
- Synthetic data generation
- SMOTE
- Class weights
- Ensemble methods
- Cost-sensitive learning",Rethinking Class Imbalance in Machine Learning,"  Imbalance learning is a subfield of machine learning that focuses on learning
tasks in the presence of class imbalance. Nearly all existing studies refer to
class imbalance as a proportion imbalance, where the proportion of training
samples in each class is not balanced. The ignorance of the proportion
imbalance will result in unfairness between/among classes and poor
generalization capability. Previous literature has presented numerous methods
for either theoretical/empirical analysis or new methods for imbalance
learning. This study presents a new taxonomy of class imbalance in machine
learning with a broader scope. Four other types of imbalance, namely, variance,
distance, neighborhood, and quality imbalances between/among classes, which may
exist in machine learning tasks, are summarized. Two different levels of
imbalance including global and local are also presented. Theoretical analysis
is used to illustrate the significant impact of the new imbalance types on
learning fairness. Moreover, our taxonomy and theoretical conclusions are used
to analyze the shortcomings of several classical methods. As an example, we
propose a new logit perturbation-based imbalance learning loss when proportion,
variance, and distance imbalances exist simultaneously. Several classical
losses become the special case of our proposed method. Meta learning is
utilized to infer the hyper-parameters related to the three types of imbalance.
Experimental results on several benchmark corpora validate the effectiveness of
the proposed method.
",8.333333333,,0.7197063,expanded,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - Oversampling
- Undersampling
- SMOTE
- Class weighting
- Ensemble techniques
- Anomaly detection techniques",Influence-Balanced Loss for Imbalanced Visual Classification,"  In this paper, we propose a balancing training method to address problems in
imbalanced data learning. To this end, we derive a new loss used in the
balancing training phase that alleviates the influence of samples that cause an
overfitted decision boundary. The proposed loss efficiently improves the
performance of any type of imbalance learning methods. In experiments on
multiple benchmark data sets, we demonstrate the validity of our method and
reveal that the proposed loss outperforms the state-of-the-art cost-sensitive
loss methods. Furthermore, since our loss is not restricted to a specific task,
model, or training method, it can be easily used in combination with other
recent re-sampling, meta-learning, and cost-sensitive learning methods for
class-imbalance problems.
",8.333333333,,0.70390683,expanded,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - Oversampling
- Undersampling
- SMOTE
- Class weights
- Ensemble methods",Partial Resampling of Imbalanced Data,"  Imbalanced data is a frequently encountered problem in machine learning.
Despite a vast amount of literature on sampling techniques for imbalanced data,
there is a limited number of studies that address the issue of the optimal
sampling ratio. In this paper, we attempt to fill the gap in the literature by
conducting a large scale study of the effects of sampling ratio on
classification accuracy. We consider 10 popular sampling methods and evaluate
their performance over a range of ratios based on 20 datasets. The results of
the numerical experiments suggest that the optimal sampling ratio is between
0.7 and 0.8 albeit the exact ratio varies depending on the dataset.
Furthermore, we find that while factors such the original imbalance ratio or
the number of features do not play a discernible role in determining the
optimal ratio, the number of samples in the dataset may have a tangible effect.
",,7.333333333,0.64573896,feedback_adjusted,
What are the advancements in handling class imbalance in supervised learning?,"What are the advancements in handling class imbalance in supervised learning? - sampling techniques
- ensemble methods
- synthetic data generation
- cost-sensitive learning
- anomaly detection",Stop Oversampling for Class Imbalance Learning: A Critical Review,"  For the last two decades, oversampling has been employed to overcome the
challenge of learning from imbalanced datasets. Many approaches to solving this
challenge have been offered in the literature. Oversampling, on the other hand,
is a concern. That is, models trained on fictitious data may fail spectacularly
when put to real-world problems. The fundamental difficulty with oversampling
approaches is that, given a real-life population, the synthesized samples may
not truly belong to the minority class. As a result, training a classifier on
these samples while pretending they represent minority may result in incorrect
predictions when the model is used in the real world. We analyzed a large
number of oversampling methods in this paper and devised a new oversampling
evaluation system based on hiding a number of majority examples and comparing
them to those generated by the oversampling process. Based on our evaluation
system, we ranked all these methods based on their incorrectly generated
examples for comparison. Our experiments using more than 70 oversampling
methods and three imbalanced real-world datasets reveal that all oversampling
methods studied generate minority samples that are most likely to be majority.
Given data and methods in hand, we argue that oversampling in its current forms
and methodologies is unreliable for learning from class imbalanced data and
should be avoided in real-world applications.
",,6,0.60609907,feedback_adjusted,
How can reinforcement learning improve autonomous vehicle navigation?,"How can reinforcement learning improve autonomous vehicle navigation? - Machine learning
- Artificial intelligence
- Deep learning
- Sensor fusion
- Real-time decision making
- Control systems
- Traffic scenarios
- Environment mapping
- Collision avoidance",Benchmarking Reinforcement Learning Techniques for Autonomous Navigation,"  Deep reinforcement learning (RL) has brought many successes for autonomous
robot navigation. However, there still exists important limitations that
prevent real-world use of RL-based navigation systems. For example, most
learning approaches lack safety guarantees; and learned navigation systems may
not generalize well to unseen environments. Despite a variety of recent
learning techniques to tackle these challenges in general, a lack of an
open-source benchmark and reproducible learning methods specifically for
autonomous navigation makes it difficult for roboticists to choose what
learning methods to use for their mobile robots and for learning researchers to
identify current shortcomings of general learning methods for autonomous
navigation. In this paper, we identify four major desiderata of applying deep
RL approaches for autonomous navigation: (D1) reasoning under uncertainty, (D2)
safety, (D3) learning from limited trial-and-error data, and (D4)
generalization to diverse and novel environments. Then, we explore four major
classes of learning techniques with the purpose of achieving one or more of the
four desiderata: memory-based neural network architectures (D1), safe RL (D2),
model-based RL (D2, D3), and domain randomization (D4). By deploying these
learning techniques in a new open-source large-scale navigation benchmark and
real-world environments, we perform a comprehensive study aimed at establishing
to what extent can these techniques achieve these desiderata for RL-based
navigation systems.
",9,,0.70179206,expanded,
How can reinforcement learning improve autonomous vehicle navigation?,"How can reinforcement learning improve autonomous vehicle navigation? - Machine learning
- Deep learning
- Control theory
- Sensor fusion
- Path planning
- Real-time decision making
- Object detection","Evaluation of Safety Constraints in Autonomous Navigation with Deep
  Reinforcement Learning","  While reinforcement learning algorithms have had great success in the field
of autonomous navigation, they cannot be straightforwardly applied to the real
autonomous systems without considering the safety constraints. The later are
crucial to avoid unsafe behaviors of the autonomous vehicle on the road. To
highlight the importance of these constraints, in this study, we compare two
learnable navigation policies: safe and unsafe. The safe policy takes the
constraints into account, while the other does not. We show that the safe
policy is able to generate trajectories with more clearance (distance to the
obstacles) and makes less collisions while training without sacrificing the
overall performance.
",9,9.333333333,0.733965,overlap,
How can reinforcement learning improve autonomous vehicle navigation?,"How can reinforcement learning improve autonomous vehicle navigation? - Deep learning
- Machine learning algorithms
- Sensor fusion
- Motion planning
- Simulation environment
- Transfer learning
- Control policies
- Multi-agent systems","A Survey of Deep Reinforcement Learning Algorithms for Motion Planning
  and Control of Autonomous Vehicles","  In this survey, we systematically summarize the current literature on studies
that apply reinforcement learning (RL) to the motion planning and control of
autonomous vehicles. Many existing contributions can be attributed to the
pipeline approach, which consists of many hand-crafted modules, each with a
functionality selected for the ease of human interpretation. However, this
approach does not automatically guarantee maximal performance due to the lack
of a system-level optimization. Therefore, this paper also presents a growing
trend of work that falls into the end-to-end approach, which typically offers
better performance and smaller system scales. However, their performance also
suffers from the lack of expert data and generalization issues. Finally, the
remaining challenges applying deep RL algorithms on autonomous driving are
summarized, and future research directions are also presented to tackle these
challenges.
",9,9,0.6954729,overlap,
How can reinforcement learning improve autonomous vehicle navigation?,"How can reinforcement learning improve autonomous vehicle navigation? - Machine learning
- Deep learning
- Control algorithms
- Computer vision
- Sensor fusion
- Path planning
- Safety optimization
- Simulated environments
- Real-time decision making",Learning to Drive in a Day,"  We demonstrate the first application of deep reinforcement learning to
autonomous driving. From randomly initialised parameters, our model is able to
learn a policy for lane following in a handful of training episodes using a
single monocular image as input. We provide a general and easy to obtain
reward: the distance travelled by the vehicle without the safety driver taking
control. We use a continuous, model-free deep reinforcement learning algorithm,
with all exploration and optimisation performed on-vehicle. This demonstrates a
new framework for autonomous driving which moves away from reliance on defined
logical rules, mapping, and direct supervision. We discuss the challenges and
opportunities to scale this approach to a broader range of autonomous driving
tasks.
",9,8,0.6856755,overlap,
How can reinforcement learning improve autonomous vehicle navigation?,"How can reinforcement learning improve autonomous vehicle navigation? - Deep reinforcement learning
- Path planning
- Simulated environments
- Machine learning models
- Object detection",Autonomous Driving with Deep Reinforcement Learning in CARLA Simulation,"  Nowadays, autonomous vehicles are gaining traction due to their numerous
potential applications in resolving a variety of other real-world challenges.
However, developing autonomous vehicles need huge amount of training and
testing before deploying it to real world. While the field of reinforcement
learning (RL) has evolved into a powerful learning framework to the development
of deep representation learning, and it is now capable of learning complicated
policies in high-dimensional environments like in autonomous vehicles. In this
regard, we make an effort, using Deep Q-Learning, to discover a method by which
an autonomous car may maintain its lane at top speed while avoiding other
vehicles. After that, we used CARLA simulation environment to test and verify
our newly acquired policy based on the problem formulation.
",9,9,0.6468596,overlap,
